feature,feature with no special characters,legend,Adapazar,Akn,Alashkert,Altun-Husein,Amasia,Arabkir,Aramo,Arjesh,ArtialKuti,Artial Suceava,Aslanbek,Aygetun,Ayntab,Baberd,Bardizag,Beylan,Bitlis,Charsanchag ,Chmshgadzak,Constantinople,Crimea,Darende,EdesiaUrfa,Erznkay,Eudokia,Evereg,Gamakh,Gelieguzan Sasun,Gop,Grabar,Gyumri,Gyurin,Hajin,HajiHabibli Svedia,Halvorig,Hamshen Mala,Hamshen Martil,Hamshen Zefanos,Hazzo,Jerusalem,Kesab Galaduran,Kabusiye,Karin,Kesaria,KharberdDersim,Khodorjur,Malatya,Manazkert,Marash,Marzvan,Middle Arm,Moks,Mush,Nicomedia,Nish,Ordu,Ozmi,Prknig,Rodosto,Sasun,Sebastia,Shabin-Karahisar,Shatakh,Sivrihisar,Smyrna,SWA,Syolyoz,Tigranakert,Tomarza,Trabzon,Van,Vartenis,Xlat,Xnus,Xtrbek,Yoghnoluk,YozgatGamirk,Zeytun,Shamakhi
"uš or unim comp. tenses (kruš, kradz unim)  100",u or unim comp tenses kru kradz unim  100,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0
past imperf 1st pl in place of 1st sg              100(3),past imperf 1st pl in place of 1st sg              1003,,0,0,1,0,0,0,0,1,0,0,0,1,?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,?,0,0,0,0,0,0,?,1,0,0,0,0,1,1,0,0,?,0,0
past imperf (aor) AUX (eir ? eis)                 100(4),past imperf aor AUX eir  eis                 1004,,0,0,0,0,0,0,0,0,0,1,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,1,0
1st sg aor in -im instead of -i  (krec’im)         100(6),1st sg aor in im instead of i  krecim         1006,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,0,0
ne/na/ana/etc. conditional enclitic marker,nenaanaetc conditional enclitic marker,2=togh cond. marker; 3=special g? cond marker; 4=both ne+togh,1,1,0,0,0,1,0,0,0,0,4,0,?,0,0,3,?,?,?,1,1,0,?,?,?,?,?,?,?,0,?,?,?,2,?,1,1,1,?,?,?,3,?,1,1,?,?,?,1,?,1,?,3,?,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,3,?,?,1,?
-er participle can inflect in 3SG,er participle can inflect in 3SG,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,1,?,?,?,1,?,?,?,?
h-initial aspiration,hinitial aspiration,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,1,0,?,0,?,?,?,?,?,0,?,?,?,1,?,1,?,?,?,?,?,?,1,?,1,?,1,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,0,?,?,?,?
-an-el --> -nul,anel  nul,2=-an-el --> -nel; 3=-nil; 4=-nal; 5=-nel and -nil,?,?,?,?,?,4,?,?,1,1,0,0,?,?,?,?,?,?,?,4,0,?,4,4,?,?,?,?,?,0,?,?,1,1,?,1,1,1,?,?,?,?,3,?,?,?,?,?,?,?,?,5,1,?,?,?,?,?,?,1,?,?,5,?,?,4,?,4,?,?,4,?,?,?,1,?,?,?,?
e > i before nasals in 1st conj,e  i before nasals in 1st conj,,0,1,0,0,0,0,0,0,0,0,1,0,?,?,0,?,?,?,?,0,?,?,?,?,1,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?
mobile prohibitive,mobile prohibitive,,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,1,1,?,?,?,0,?,?,?,?
